"",GeneID,Length,EntrezGene,Symbol,RefSeq,logFC,logCPM,PValue,padj
ENSRNOG00000001449,ENSRNOG00000001449.2,5506,113975,Pom121,NM_053622,0.405116168930895,5.81673917333442,1.23902328803897e-10,6.65806932766366e-10
ENSRNOG00000001453,ENSRNOG00000001453.7,6833,368002,Baz1b,NM_001191916,0.354162985881703,8.24697127641007,6.45958336487207e-12,3.87519098964026e-11
ENSRNOG00000032705,ENSRNOG00000032705.4,1617,368001,Bcl7b,NM_001109021,0.173479540236392,5.01320408516144,0.0102611513537096,0.0195412915340425
ENSRNOG00000033700,ENSRNOG00000033700.5,1435,368084,Bud23,NM_001135743,-0.297367715977765,4.20469034531161,0.000306525175154242,0.000775344832756506
ENSRNOG00000059673,ENSRNOG00000059673.1,453,,,,-0.431943368168931,3.75300564664908,0.0000626373333975206,0.000177297670523321
ENSRNOG00000053902,ENSRNOG00000053902.1,299,,,,4.38309379942539,3.3898092283111,9.80528020508145e-70,5.12982659483959e-68
ENSRNOG00000001474,ENSRNOG00000001474.7,856,288604,Tmem270,NM_001431982,1.69572480201735,-0.26122735343785,2.08971798814737e-7,8.09043568491346e-7
ENSRNOG00000001454,ENSRNOG00000001454.7,2685,288599,Eif4h,NM_001006957,0.180379797862378,7.65315696843905,0.00421064971146524,0.00875734287425054
ENSRNOG00000001457,ENSRNOG00000001457.5,1526,116468,Rfc2,NM_053786,0.562245026596395,4.41965140746432,1.56515196372752e-11,9.12117142711997e-11
ENSRNOG00000021611,ENSRNOG00000021611.5,5033,29264,Clip2,NM_021997,-0.170413376315101,5.70155031341079,0.00685531002868016,0.0135914283789032
ENSRNOG00000001478,ENSRNOG00000001478.7,3928,246770,Gtf2ird1,NM_001001504,0.530259257402643,6.08556891912106,9.38105790920801e-21,9.97384868506594e-20
ENSRNOG00000001479,ENSRNOG00000001479.9,6271,353256,Gtf2i,NM_001001512,0.263698932219456,8.00386763828871,9.78532603346012e-9,4.411829597655e-8
ENSRNOG00000001482,ENSRNOG00000001482.7,3094,,,,0.831399703469092,4.0202580771302,1.63771277627814e-18,1.52384227720269e-17
ENSRNOG00000001484,ENSRNOG00000001484.4,1239,,,,0.572656074791292,2.95011001895694,0.0000163930642441813,0.0000505276662252845
ENSRNOG00000050193,ENSRNOG00000050193.2,3785,,,,0.589585468049009,5.31597489759741,7.75796516293711e-15,5.74860657503795e-14
ENSRNOG00000062153,ENSRNOG00000062153.1,868,,,,0.523018934780063,1.88245363907521,0.0000372067785779347,0.000108825902574786
ENSRNOG00000024352,ENSRNOG00000024352.6,2706,304423,Tyw1,NM_001107137,0.420036205225743,5.06939451149277,2.74538337419869e-11,1.5631209486608e-10
ENSRNOG00000000893,ENSRNOG00000000893.6,1883,288616,Tmem248,NM_001004204,0.230211534069241,5.3474684271024,0.0000433254714129226,0.000125583177016257
ENSRNOG00000000895,ENSRNOG00000000895.4,2826,360797,Rabgef1,NM_001108333,0.27536636341599,4.47836078955949,0.000106529292284118,0.000290675478887426
ENSRNOG00000042384,ENSRNOG00000042384.1,1477,688993,Kctd7,NM_001128194,0.956759002386594,2.87893840012382,8.29365831516603e-26,1.1521370629405e-24
ENSRNOG00000000900,ENSRNOG00000000900.6,1936,288617,Tpst1,NM_001011903,-0.137846013722417,5.74919007213304,0.0154413140688963,0.0281995781302618
ENSRNOG00000000901,ENSRNOG00000000901.7,1545,114205,Crcp,NM_053670,0.156018746657055,4.51150031310147,0.028165241782036,0.0485192485171653
ENSRNOG00000000903,ENSRNOG00000000903.7,1789,59085,Asl,NM_021577,0.224031075199465,3.95232332526397,0.00494647543221562,0.0101210973763399
ENSRNOG00000000913,ENSRNOG00000000913.8,3050,24434,Gusb,NM_017015,-0.293414557974398,5.68023207840911,1.35866362532863e-6,4.8027823818348e-6
ENSRNOG00000058750,ENSRNOG00000058750.1,1031,,,,-0.379371279452237,3.75274445681173,0.00732884187863665,0.0144266738329431
ENSRNOG00000000922,ENSRNOG00000000922.8,2545,360800,Sumf2,NM_001025125,-0.305049038984148,4.66677686501399,0.000541987953460165,0.00131549737163371
ENSRNOG00000000925,ENSRNOG00000000925.7,1429,304429,Psph,NM_001009679,0.396752055677889,4.51674332223417,5.13427426593985e-7,1.91915822116447e-6
ENSRNOG00000023919,ENSRNOG00000023919.4,2075,498174,Nipsnap2,NM_001394370,-0.312332184735359,4.91495381004049,3.77092957547416e-7,1.42608204130861e-6
ENSRNOG00000000926,ENSRNOG00000000926.7,1408,288621,Mrps17,NM_001105923,-0.144045719779842,5.4658459062247,0.00796775766148699,0.0155518783920675
ENSRNOG00000000931,ENSRNOG00000000931.8,7094,304431,Sfswap,NM_001034924,0.238369653466108,5.9005809247517,0.000030774982410897,0.0000910897429856268
ENSRNOG00000000936,ENSRNOG00000000936.6,2616,25130,Stx2,NM_001415751,-0.438070642154478,5.62813077451637,5.20091086694953e-15,3.90392140007516e-14
ENSRNOG00000008447,ENSRNOG00000008447.6,3429,288750,Tmem132d,NM_198727,1.36183764231593,-1.03416222227859,0.00931539943130917,0.0179198970050882
ENSRNOG00000000964,ENSRNOG00000000964.4,777,689484,Frg1-ps1,XM_001070964,-0.267774812722153,3.82190022629616,0.00278909145209422,0.0059913176157165
ENSRNOG00000000967,ENSRNOG00000000967.5,3191,65984,Aacs,NM_023104,-1.28692654472283,4.64912116823292,3.58125012330326e-52,1.20588798563975e-50
ENSRNOG00000000979,ENSRNOG00000000979.5,1124,,,,0.243863361741694,4.45563904967981,0.000204669227692814,0.000533459987286962
ENSRNOG00000000981,ENSRNOG00000000981.8,2522,25073,Scarb1,NM_031541,0.417922317838429,2.14222584404678,0.00228679960534189,0.00499987221707302
ENSRNOG00000001004,ENSRNOG00000001004.7,8739,360801,Ncor2,NM_001108334,0.318334214896112,8.1685275665265,0.00001135832762853,0.0000356755446855323
ENSRNOG00000021705,ENSRNOG00000021705.3,786,,,,0.581894263439789,4.92152717218222,7.90954040905796e-11,4.34288587054176e-10
ENSRNOG00000021691,ENSRNOG00000021691.5,1953,100036765,Ccdc92,NM_001083898,0.397792245208314,3.53955196598432,0.0000624289120047331,0.000176779909320592
ENSRNOG00000001043,ENSRNOG00000001043.8,2343,100362764,Ddx55,NM_001271326,0.508304607974133,4.76657018969649,1.90151705600398e-12,1.19341930576909e-11
ENSRNOG00000001053,ENSRNOG00000001053.5,1958,65165,Tmed2,NM_001393805,-0.227293808084276,9.01178252541072,0.0000346555280031313,0.000101685553488976
ENSRNOG00000001055,ENSRNOG00000001055.7,2533,304469,Rilpl1,NM_001191665,0.262511974745974,5.19946606005506,9.72578035377565e-7,3.51049775643701e-6
ENSRNOG00000001061,ENSRNOG00000001061.6,1289,288652,Rilpl2,NM_001004205,-0.351643643247849,5.14677883808558,2.65938832715283e-9,1.27444727852218e-8
ENSRNOG00000001064,ENSRNOG00000001064.7,5716,304470,Sbno1,NM_001107138,0.179824894172485,6.80881130330868,0.00622843817398193,0.012485695032401
ENSRNOG00000001073,ENSRNOG00000001073.7,3598,498179,Mtrfr,NM_001109065,-0.442365369462617,4.00080889986002,0.0000108290462607982,0.0000341290969219608
ENSRNOG00000001086,ENSRNOG00000001086.5,2520,288659,Vps37b,NM_001105928,0.458628801536017,4.850272609458,1.40782307283679e-12,8.93275015185779e-12
ENSRNOG00000038002,ENSRNOG00000038002.4,2872,689909,Ccdc62,NM_001134766,0.438427378767145,2.700440362654,0.000732012590997443,0.00174075858689341
ENSRNOG00000001106,ENSRNOG00000001106.7,582,687565,Denr,NM_001115046,0.197798867988866,5.68121142039144,0.00490238419140764,0.0100438383965827
ENSRNOG00000033658,ENSRNOG00000033658.5,6479,304477,Kntc1,NM_001107140,0.924422182332579,6.55549850998283,8.13763153449219e-47,2.35041924154583e-45
ENSRNOG00000001238,ENSRNOG00000001238.7,2117,360807,Rsrc2,NM_001014128,0.559153968228314,7.38026134125086,7.88539759078626e-20,8.02231080850387e-19
ENSRNOG00000001243,ENSRNOG00000001243.7,3575,288661,Zcchc8,NM_001105929,0.35361121600878,5.27517024467257,2.22380939533265e-7,8.58321087329951e-7
ENSRNOG00000001247,ENSRNOG00000001247.7,6538,65201,Clip1,NM_001408966,0.2731586872366,8.0810604235514,1.09036091263075e-7,4.37279829120991e-7
ENSRNOG00000056889,ENSRNOG00000056889.1,3201,65081,Vps33a,NM_022961,0.251998004096008,5.06512503194183,0.0000704977411370018,0.000198010673242178
ENSRNOG00000001255,ENSRNOG00000001255.8,4520,304479,Mlxip,NM_001427251,0.198178530860179,4.69696293744253,0.0112832510745968,0.0212484369598221
ENSRNOG00000056017,ENSRNOG00000056017.1,633,,,,0.741219489253317,2.48361876866497,3.34977793508431e-11,1.89556413436771e-10
ENSRNOG00000001342,ENSRNOG00000001342.8,3888,,,,1.1376726979083,-0.0446914496364502,0.000993935047437858,0.00230974111593672
ENSRNOG00000001337,ENSRNOG00000001337.8,5949,100359816,Setd1b,XM_039090129,0.272423549297777,4.62861708591895,0.00159448553226344,0.00357991051324702
ENSRNOG00000057941,ENSRNOG00000057941.1,973,,,,1.05907084302183,1.64246252337172,4.99683063740042e-6,0.000016506090054067
ENSRNOG00000042607,ENSRNOG00000042607.3,2534,690130,Rhof,NM_001398958,0.573558575439466,1.2122108543829,0.0116006939375556,0.0217752532832752
ENSRNOG00000056739,ENSRNOG00000056739.1,432,,,,1.66572617105362,1.6105577956436,1.70869202389148e-25,2.33622349302085e-24
ENSRNOG00000025702,ENSRNOG00000025702.6,4313,304495,Kdm2b,NM_001100679,1.05977504531167,6.46108483418649,8.27140262671102e-90,6.16530785036137e-88
ENSRNOG00000001331,ENSRNOG00000001331.5,1960,282845,Rnf34,NM_001004075,-0.484231754824537,4.59017860771729,3.54627679336691e-15,2.6866437958054e-14
ENSRNOG00000001316,ENSRNOG00000001316.7,2433,288671,Anapc5,NM_001080147,0.134141617826425,8.91298295084455,0.00442300368282242,0.00914549188048472
ENSRNOG00000001309,ENSRNOG00000001309.6,2136,83506,Camkk2,NM_001395661,0.323580900785083,3.01216205495606,0.00147299961954314,0.00333034356251568
ENSRNOG00000001300,ENSRNOG00000001300.7,1970,29659,P2rx4,NM_031594,-0.956646705009985,3.76820196471077,1.63018648347476e-27,2.46734775184433e-26
ENSRNOG00000001285,ENSRNOG00000001285.8,6620,29693,Atp2a2,NM_001110139,0.173446218899947,8.4341581713527,0.00096510691941856,0.00224762593196417
ENSRNOG00000008673,ENSRNOG00000008673.7,902,288669,Arpc3,NM_001105933,-0.367938319870961,7.29289978744756,6.74366798839438e-10,3.38747148518477e-9
ENSRNOG00000001278,ENSRNOG00000001278.5,1596,360810,Gpn3,NM_001393837,0.302665848967418,3.99900004465088,0.0000307419975901264,0.0000910115427267802
ENSRNOG00000031731,ENSRNOG00000031731.2,1238,288667,Fam216a,NM_001008290,0.611651488217277,5.18991938968779,9.2492161872411e-19,8.77093934472712e-18
ENSRNOG00000001274,ENSRNOG00000001274.7,1441,288666,Vps29,NM_001105932,0.207742189684319,5.80231144110589,0.00334242895669958,0.00707580318455993
ENSRNOG00000021480,ENSRNOG00000021480.4,1727,363924,Rad9b,NM_001030042,0.456902478894961,1.3984726639678,0.0122545596696997,0.0228786985268942
ENSRNOG00000021440,ENSRNOG00000021440.4,4220,304488,Pptc7,NM_001107141,0.936634208206618,5.62354845359351,1.12905848233246e-57,4.38466857116449e-56
ENSRNOG00000028523,ENSRNOG00000028523.5,4061,304486,Tctn1,NM_001177613,-0.708027625926171,3.91245097038638,1.02089857901416e-13,7.01722255798332e-13
ENSRNOG00000001269,ENSRNOG00000001269.6,2433,24669,Ppp1cc,NM_001270983,-0.272470858672916,7.33042401950424,0.0000372930815822743,0.000109032324558551
ENSRNOG00000028198,ENSRNOG00000028198.5,4321,58838,Sh2b3,NM_001402348,-1.30529115771742,4.80402984695357,5.69227588405341e-84,3.98574307356144e-82
ENSRNOG00000001256,ENSRNOG00000001256.8,3654,288663,Atxn2,NM_001105930,0.532431308474699,6.21027038766699,1.45644993724669e-18,1.35791674041615e-17
ENSRNOG00000046497,ENSRNOG00000046497.2,1761,687346,Brap,NM_001271194,0.273180880261631,5.25540605293516,8.25114259330939e-6,0.000026510739493312
ENSRNOG00000037815,ENSRNOG00000037815.5,3706,29539,Aldh2,NM_032416,0.796679869021478,2.03740667377082,0.0000157003930597307,0.0000485545949989086
ENSRNOG00000001344,ENSRNOG00000001344.7,1876,,,,-0.345599457277294,6.9673302471397,2.76066187541478e-9,1.32160967682149e-8
ENSRNOG00000001347,ENSRNOG00000001347.5,2955,56777,Adam1a,NM_020078,0.801454363593847,2.40778807907746,6.4176724260493e-11,3.54621803566152e-10
ENSRNOG00000037801,ENSRNOG00000037801.3,2412,,,,0.687373224424211,-0.0180695928461373,0.0100480312687488,0.0191934287007348
ENSRNOG00000001348,ENSRNOG00000001348.5,1230,117030,Erp29,NM_053961,0.361295703542674,7.37827036918324,2.36823056705559e-6,8.15730399544316e-6
ENSRNOG00000001350,ENSRNOG00000001350.6,3257,360811,Naa25,NM_001047900,0.358127717023974,4.75391322570275,3.06805889460838e-8,1.30699107469159e-7
ENSRNOG00000001351,ENSRNOG00000001351.6,2579,114635,Trafd1,NM_053760,0.25759681223792,5.83071036715064,0.000128661014226361,0.000346899319571036
ENSRNOG00000001352,ENSRNOG00000001352.7,12776,304503,Hectd4,XM_017598533,0.593828740735965,5.54776521091958,4.41571972050797e-17,3.76272515089874e-16
ENSRNOG00000056978,ENSRNOG00000056978.1,134,120096111,LOC120096111,XR_005492139,0.912242145595699,1.02260001056633,0.000219301614504888,0.000568830230775634
ENSRNOG00000030124,ENSRNOG00000030124.5,5538,25622,Ptpn11,NM_001177593,0.290265584988093,7.82660700032097,2.32304367719029e-8,1.00176290950439e-7
ENSRNOG00000001377,ENSRNOG00000001377.7,3252,360815,Ddx54,NM_001191548,0.239227991001694,5.89585954892502,0.00154031316882555,0.00346895740295604
ENSRNOG00000001378,ENSRNOG00000001378.7,1374,,,,-1.04317785119292,1.01933969083529,1.46665269445821e-7,5.78812210531414e-7
ENSRNOG00000059344,ENSRNOG00000059344.1,4165,246215,Tpcn1,NM_139332,-0.543110263920848,5.75189240712406,6.6812996806116e-18,5.99932245932637e-17
ENSRNOG00000001383,ENSRNOG00000001383.6,2665,498185,Slc8b1,NM_001017488,0.264635118653244,3.47868952366461,0.0221790922903981,0.0391309411445762
ENSRNOG00000035103,ENSRNOG00000035103.3,119,120096019,LOC120096019,XR_005492108,3.81082747097452,1.45670154070343,1.33631525199747e-18,1.25180234146574e-17
ENSRNOG00000001120,ENSRNOG00000001120.7,9329,360817,Med13l,NM_001108337,0.148047890818383,7.01987510883256,0.0068053269949228,0.0135087713251872
ENSRNOG00000001129,ENSRNOG00000001129.7,1860,360818,Fbxo21,NM_001108338,0.662455680657784,4.58320978839381,3.73236327489683e-17,3.1941657063685e-16
ENSRNOG00000001134,ENSRNOG00000001134.7,2092,304528,Rfc5,NM_001107146,0.636092473359038,5.71495235200284,1.32750733275901e-18,1.24523421254201e-17
ENSRNOG00000022698,ENSRNOG00000022698.6,3214,304529,Vsig10,NM_001271336,0.582913449421725,5.12526991240314,2.00733250151903e-20,2.09718596842953e-19
ENSRNOG00000001136,ENSRNOG00000001136.6,1096,29542,Pebp1,NM_017236,-0.132049911379874,7.96194069253434,0.0158552989651061,0.0288702212834556
ENSRNOG00000001138,ENSRNOG00000001138.7,2904,304530,Taok3,NM_001024254,-0.382614855266296,5.35904476303748,3.87309901911868e-10,1.98508853238674e-9
ENSRNOG00000001139,ENSRNOG00000001139.8,2169,360819,Suds3,NM_001431820,0.254971317164162,6.12991480507021,3.11943650919676e-6,0.0000105611398689875
ENSRNOG00000022392,ENSRNOG00000022392.3,1773,113906,Hspb8,NM_053612,-0.551236640989675,3.51528869512528,2.5439639800003e-9,1.22208997292876e-8
ENSRNOG00000001142,ENSRNOG00000001142.3,2055,83803,Prkab1,NM_031976,-0.353773778102923,4.95037964302715,6.45924784277351e-7,2.37977709519564e-6
ENSRNOG00000001143,ENSRNOG00000001143.8,7578,83620,Cit,NM_001029911,0.23349255012695,4.62816822995284,0.00415686241249685,0.00865314652407656
ENSRNOG00000022014,ENSRNOG00000022014.4,2088,288700,Rab35,NM_001013046,0.158630344512687,6.09234294022609,0.0038363225449085,0.00802819256794136
ENSRNOG00000001149,ENSRNOG00000001149.8,3728,360820,Pxn,NM_001012147,0.555117405083004,6.83107688031963,2.83221397637831e-17,2.44342343301238e-16
ENSRNOG00000052742,ENSRNOG00000052742.1,141,,,,1.28688221958221,-0.708544037700935,0.0000742988581882174,0.000207719171188031
ENSRNOG00000001160,ENSRNOG00000001160.5,1087,691278,Triap1,NM_001126099,-0.173109153200938,4.35409036771526,0.0176149688358151,0.0317243346245441
ENSRNOG00000001161,ENSRNOG00000001161.6,1953,,,,-0.383776055842676,5.28962943619924,6.73067842855402e-10,3.38217200918713e-9
ENSRNOG00000001170,ENSRNOG00000001170.4,549,25282,Cox6a1,NM_012814,-0.225523645220185,7.56842795629028,0.0275364875191199,0.0475661429061897
ENSRNOG00000045621,ENSRNOG00000045621.2,459,360821,Gatc,NM_001108339,-0.359283451585532,2.04490019151879,0.0129573993564945,0.024074160369665
ENSRNOG00000001163,ENSRNOG00000001163.4,1096,288701,Srsf9,NM_001009255,-0.243727128176896,5.41543590501246,0.0000981055911233644,0.000269120679725826
ENSRNOG00000011222,ENSRNOG00000011222.5,652,58945,Dynll1,NM_053319,-0.237463769694186,8.64999133638315,0.00451684232777237,0.00932145013876691
ENSRNOG00000001172,ENSRNOG00000001172.7,4100,288710,Rnf10,NM_001011904,-0.330426147892563,8.97398287123281,2.17742722109664e-10,1.14131761789353e-9
ENSRNOG00000001199,ENSRNOG00000001199.7,1439,117241,Pop5,NM_001105752,-0.298719002084628,2.49621808410407,0.0128119601374837,0.0238294895822476
ENSRNOG00000001173,ENSRNOG00000001173.8,1594,171051,Cabp1,NM_001033675,0.78180213487749,3.33288626573526,3.1877024520496e-13,2.11052085937038e-12
ENSRNOG00000021725,ENSRNOG00000021725.5,5629,288702,Unc119b,NM_001105934,-0.28496524599903,7.87025488875949,1.20785618195811e-9,5.95721028341061e-9
ENSRNOG00000001178,ENSRNOG00000001178.7,2709,360822,Sppl3,NM_001431833,0.266835108420437,5.8620172976629,0.0000122974087201071,0.0000384162403099514
ENSRNOG00000028814,ENSRNOG00000028814.4,2786,304549,Oasl2,NM_001009682,-0.567032785219709,0.503194004788878,0.0210177632717661,0.0372336148734685
ENSRNOG00000037566,ENSRNOG00000037566.3,219,,,,0.732328375945294,-0.226528379581384,0.0244938239650726,0.0428116963504496
ENSRNOG00000001190,ENSRNOG00000001190.6,3123,304546,Git2,NM_001005553,0.39902550913174,6.30081259423883,6.01399585246109e-15,4.4899320677717e-14
ENSRNOG00000049426,ENSRNOG00000049426.3,3171,687861,Mmab,NM_001398937,0.425099170087285,3.10281765585894,0.0000261085712607565,0.0000781959887576426
ENSRNOG00000047219,ENSRNOG00000047219.2,3427,687633,Ube3b,NM_001143894,-0.170137715714761,4.96218734954245,0.00845306003653374,0.0164113183512819
ENSRNOG00000047896,ENSRNOG00000047896.2,3013,494521,Kctd10,NM_001009973,-0.348441078064779,6.87051844600268,1.95655050716499e-10,1.02943515109432e-9
ENSRNOG00000000692,ENSRNOG00000000692.7,1874,304577,Ung,NM_001013124,0.547194218084084,4.49765913399867,2.65615511480103e-12,1.64543943304743e-11
ENSRNOG00000028556,ENSRNOG00000028556.5,3600,304579,Usp30,NM_001107153,0.447447241030635,4.73741817590139,9.54850067364662e-12,5.66212204189208e-11
ENSRNOG00000000695,ENSRNOG00000000695.8,3477,304580,Ssh1,NM_001107154,0.231764061140739,4.63919729547811,0.00420830776387141,0.008753785272065
ENSRNOG00000000697,ENSRNOG00000000697.4,3412,501841,Coro1c,NM_001109327,0.157432569431595,7.76898824975789,0.0029992772484704,0.00640708471075403
ENSRNOG00000000700,ENSRNOG00000000700.4,2167,304581,Tmem119,NM_001107155,-0.385346041127336,6.52370073527341,2.84836212192324e-6,9.70978422875433e-6
ENSRNOG00000000701,ENSRNOG00000000701.5,924,288740,Iscu,NM_001105936,-0.127140059806112,6.23357764495783,0.0282150143764989,0.0485929142007181
ENSRNOG00000000702,ENSRNOG00000000702.5,3782,304582,Sart3,NM_001107156,0.514360800099695,5.93648738641416,1.27888741835175e-18,1.2020674690189e-17
ENSRNOG00000059799,ENSRNOG00000059799.1,3186,288741,Ficd,NM_001010946,0.399735947008998,4.4635508496049,1.55294288226925e-7,6.10606923419766e-7
ENSRNOG00000052424,ENSRNOG00000052424.1,10030,288744,Kiaa1671,NM_001402472,-0.331679116161691,3.08066009313098,0.000619604783387572,0.00149083663951498
ENSRNOG00000025612,ENSRNOG00000025612.6,4789,304554,Sez6l,NM_001134538,1.02702500196285,-0.256166068984056,0.00129707210784544,0.0029571793624682
ENSRNOG00000000661,ENSRNOG00000000661.5,2906,304555,Hps4,NM_001107148,0.822019017736936,3.79677866385688,2.07522913919416e-15,1.59219572693901e-14
ENSRNOG00000000663,ENSRNOG00000000663.4,3499,288718,Tfip11,NM_001008291,0.466011562643849,5.3632047156847,2.21872827683359e-17,1.92012789201129e-16
ENSRNOG00000000664,ENSRNOG00000000664.4,1744,288719,Tpst2,NM_001008508,0.222844977019561,5.76676266058937,0.000326173449589397,0.000821298348185144
ENSRNOG00000049770,ENSRNOG00000049770.1,800,64348,Cryba4,NM_031689,-1.48615368486252,-0.737884303524233,0.000277908378103943,0.000708257675373725
ENSRNOG00000032590,ENSRNOG00000032590.5,10536,304558,Ttc28,XM_006249584,0.37030963597337,6.93945502872189,2.43833570332727e-7,9.38508778204589e-7
ENSRNOG00000037509,ENSRNOG00000037509.2,2050,114212,Chek2,NM_053677,0.466852324222431,3.44910737758412,2.72058860563964e-6,9.30395669180757e-6
ENSRNOG00000037505,ENSRNOG00000037505.3,4889,360827,Ulk1,NM_001108341,0.333532912951818,5.56428938857494,6.23915794457341e-7,2.30236054680771e-6
ENSRNOG00000037483,ENSRNOG00000037483.4,10964,304569,Ep400,NM_001107149,0.248852184141959,6.86941785490672,0.0000253995592809367,0.0000761712069805118
ENSRNOG00000037480,ENSRNOG00000037480.4,2721,304570,Ddx51,NM_001107150,0.439070789473176,3.89651596280277,2.50253252102156e-6,8.59854048858562e-6
ENSRNOG00000030721,ENSRNOG00000030721.6,2457,304572,Fbrsl1,NM_001431786,0.643302419342774,3.69706900615423,1.61388545290547e-10,8.57933585854349e-10
ENSRNOG00000037466,ENSRNOG00000037466.2,809,100363238,Lrcol1,NM_001270418,2.37091166177606,-0.971599678676823,4.32295791197109e-8,1.80903979751184e-7
ENSRNOG00000037449,ENSRNOG00000037449.4,7103,304573,Pole,NM_001107152,0.548853921679132,5.79238216135932,3.98117406942467e-16,3.20528439596421e-15
ENSRNOG00000037446,ENSRNOG00000037446.4,913,29533,Pxmp2,NM_031587,0.999447502016404,1.41692938675156,7.60464687496718e-10,3.803420789125e-9
ENSRNOG00000037443,ENSRNOG00000037443.1,1992,288731,Pgam5,NM_001025272,0.394283205550161,5.03707957061581,7.31616703895285e-11,4.02505316777946e-10
ENSRNOG00000037437,ENSRNOG00000037437.2,5719,312077,Golga3,NM_001107847,0.254880930333005,6.61278787774258,7.77395979184295e-6,0.0000250413983629439
ENSRNOG00000037430,ENSRNOG00000037430.3,3152,288734,Chfr,NM_001009258,0.30120912149853,5.82692658159689,7.15431495806265e-9,3.2800073604028e-8
ENSRNOG00000037428,ENSRNOG00000037428.3,3247,100365779,Zfp605,NM_001432381,0.668540841231536,2.90252396000185,6.98781842578362e-7,2.56158420558075e-6
ENSRNOG00000048168,ENSRNOG00000048168.2,1542,,,,0.392814023073118,2.69219355625569,0.00281204569515612,0.00603408164643931
ENSRNOG00000037426,ENSRNOG00000037426.4,1542,,,,0.410998550446156,2.69920391993485,0.00153443988293795,0.00345629155760385
ENSRNOG00000057509,ENSRNOG00000057509.1,456,,,,-0.527360305033498,5.02305338369729,0.000848271227486369,0.00199059449862407
ENSRNOG00000032307,ENSRNOG00000032307.5,4010,297865,Dsel,NM_001305281,-0.679901859165801,4.93650603326386,2.05363462166298e-13,1.38278729454762e-12
ENSRNOG00000053960,ENSRNOG00000053960.1,456,,,,-0.618823554241814,5.04983358273268,0.0000867751990314695,0.000240177951561648
ENSRNOG00000062084,ENSRNOG00000062084.1,2201,,,,0.180229741319428,8.96812894358983,0.0237919376015998,0.0417051206326524
ENSRNOG00000056798,ENSRNOG00000056798.1,456,,,,-0.436195326891771,4.97902741431914,0.00345055160150349,0.00727580949098775
ENSRNOG00000014866,ENSRNOG00000014866.6,3927,309051,Pign,NM_001100584,0.369300068672618,4.50149246017199,0.0000802080394316683,0.000223228938657049
ENSRNOG00000015508,ENSRNOG00000015508.5,5458,309053,Relch,NM_001134546,0.5083977301238,5.85389382122435,5.39890065310337e-16,4.31662968019752e-15
ENSRNOG00000002882,ENSRNOG00000002882.8,5396,304695,Zcchc2,NM_001034142,-0.268858322139305,4.11667650313461,0.000115017881059912,0.000312606920802709
ENSRNOG00000002791,ENSRNOG00000002791.3,2057,,,,-0.542238263972667,2.63609636131174,3.5700047857743e-6,0.000011995769837609
ENSRNOG00000002781,ENSRNOG00000002781.7,1921,360833,Kdsr,NM_001108342,0.268654383057624,5.84681644152366,9.88250293165709e-6,0.0000313741746380797
ENSRNOG00000002555,ENSRNOG00000002555.4,1143,117092,Serpinb7,NM_130404,-4.66765123513018,3.17202849045962,3.52221953347824e-169,9.0429725207671e-167
ENSRNOG00000028513,ENSRNOG00000028513.3,1185,498211,Mat2al1,XM_039091225,0.488969793891345,4.46681353724137,1.44632022739185e-7,5.71113176660799e-7
ENSRNOG00000029410,ENSRNOG00000029410.1,483,79449,Rpl21,NM_001408995,-0.195478470844902,8.57538526903305,0.00725675516850021,0.0142989843172381
ENSRNOG00000025701,ENSRNOG00000025701.5,1959,246042,Nifk,NM_139186,0.16516387639902,6.41084160804997,0.00482244830675747,0.00989469044322711
ENSRNOG00000002376,ENSRNOG00000002376.8,8199,304740,Clasp1,NM_001427589,0.329794323266975,6.98939762498087,5.81965738775393e-9,2.69845250915787e-8
ENSRNOG00000002414,ENSRNOG00000002414.8,7381,304741,Tfcp2l1,NM_001107170,1.36505395257689,-0.23173174063402,0.000187485776638167,0.000492478743332995
ENSRNOG00000007261,ENSRNOG00000007261.6,6366,304729,Gli2,NM_001107169,0.641360464836925,4.65296478550071,3.48073218629026e-20,3.59321452201997e-19
ENSRNOG00000002440,ENSRNOG00000002440.6,2059,116546,Ralb,NM_053821,-0.637438677304718,5.66706885930452,1.56246646112665e-25,2.13840424650146e-24
ENSRNOG00000002538,ENSRNOG00000002538.8,2400,304733,Epb41l5,NM_001012023,1.26778663640724,3.13016585575536,3.75185308843886e-25,5.03053106558185e-24
ENSRNOG00000046889,ENSRNOG00000046889.3,2146,25045,Dbi,NM_031853,-0.749273768687218,7.06342359183148,6.62521706384788e-46,1.84812896123113e-44
ENSRNOG00000049471,ENSRNOG00000049471.2,3000,170824,Steap3,NM_133314,0.318886750524587,4.66650105592192,3.16566061782733e-7,1.20341976434215e-6
ENSRNOG00000002478,ENSRNOG00000002478.5,991,288985,Insig2,NM_001431260,0.244288629488306,3.02055548948521,0.0130127380538964,0.0241672606000295
ENSRNOG00000046711,ENSRNOG00000046711.1,5130,,,,1.2821740442536,-0.697225600762301,0.0122251570005415,0.0228330293217712
ENSRNOG00000025430,ENSRNOG00000025430.4,2148,308490,Ddx18,NM_001006996,0.173105491943617,6.26934646288032,0.000513333883121631,0.00125164631649636
ENSRNOG00000003206,ENSRNOG00000003206.7,2466,81732,Actr3,NM_031068,-0.409796994128759,10.0220846777957,1.06919481442064e-15,8.3653029949931e-15
