"","GeneID","Length","EntrezGene","Symbol","RefSeq","logFC","logCPM","PValue","FDR"
"ENSRNOG00000033527","ENSRNOG00000033527.6",5159,"313262","Pappa","NM_001401319",1.2820887159855,3.21256365227596,2.41269935674296e-22,2.78747199015703e-21
"ENSRNOG00000058108","ENSRNOG00000058108.1",272,NA,NA,NA,2.80748347098114,0.918251775686345,2.5866852039054e-22,2.97855512183925e-21
"ENSRNOG00000046764","ENSRNOG00000046764.2",1164,"686581","Tmprss11a","NM_001432900",1.34405419947861,1.97063904565905,3.54958023760476e-22,4.04034321955275e-21
"ENSRNOG00000004614","ENSRNOG00000004614.4",2326,"362133","Lypd6b","NM_001134580",2.78694688126854,-0.262820123381035,3.89754806280998e-22,4.42914806088505e-21
"ENSRNOG00000046204","ENSRNOG00000046204.2",879,"679462","Tspan15","NM_001115032",1.07784844426589,2.72653027894763,4.33743315761066e-22,4.90091061916171e-21
"ENSRNOG00000045840","ENSRNOG00000045840.1",312,NA,NA,NA,1.22573708268144,2.40553075480187,4.87437319381399e-22,5.48525243174003e-21
"ENSRNOG00000021694","ENSRNOG00000021694.6",3421,"100360790","Hsf3","XM_003752067",1.05091072659435,3.22867040652195,5.41995336124123e-22,6.08932199353715e-21
"ENSRNOG00000062131","ENSRNOG00000062131.1",238,NA,NA,NA,1.74914293507037,1.14023729704111,9.31287242124056e-22,1.03125929111884e-20
"ENSRNOG00000023686","ENSRNOG00000023686.6",1189,"360790","Upk3b","NM_001398810",1.85825782803829,1.25316862423057,1.33010722902581e-21,1.46354020819157e-20
"ENSRNOG00000006420","ENSRNOG00000006420.6",1689,"366262","Rbm38","NM_001108965",1.08411024785195,3.31209426176209,1.4973213800837e-21,1.64361548800319e-20
"ENSRNOG00000007748","ENSRNOG00000007748.6",9421,"290803","Tex15","NM_001106087",6.21102275735524,-1.1880992263669,2.11048315176191e-21,2.29488144439429e-20
"ENSRNOG00000039107","ENSRNOG00000039107.4",2763,"315597","Mfrp","NM_001108137",3.14750050646906,-0.0556045005074608,2.12983299124359e-21,2.31410694283707e-20
"ENSRNOG00000053909","ENSRNOG00000053909.1",292,NA,NA,NA,2.61625850929207,1.34370892020237,3.02908113016079e-21,3.27320193207711e-20
"ENSRNOG00000051253","ENSRNOG00000051253.1",628,NA,NA,NA,3.41362861405743,0.126386876762562,4.05527954597537e-21,4.3650928280592e-20
"ENSRNOG00000034597","ENSRNOG00000034597.3",119,"120098340","LOC120098340","XR_005496532",5.72614242307297,-0.679004992803601,1.10431921465965e-20,1.16961662276863e-19
"ENSRNOG00000019120","ENSRNOG00000019120.7",2012,"24450","Hmgcs2","NM_173094",3.16512005986067,-0.393958529199271,1.3771103717119e-20,1.45298768595235e-19
"ENSRNOG00000061908","ENSRNOG00000061908.1",293,NA,NA,NA,2.59804208080548,2.44864579762173,2.15447153738472e-20,2.24583408979712e-19
"ENSRNOG00000023683","ENSRNOG00000023683.4",1628,"25495","Nog","NM_012990",2.20008869062714,0.519220673232995,2.70208224603242e-20,2.80191983986488e-19
"ENSRNOG00000006170","ENSRNOG00000006170.5",3754,"313125","Bach2","NM_001135754",2.90275642615475,0.516816152215118,8.18727230273837e-20,8.31562953883991e-19
"ENSRNOG00000007706","ENSRNOG00000007706.3",2652,"78975","Prkaa2","NM_023991",1.81855684270019,0.688490665608422,9.56426801655654e-20,9.66465100448542e-19
"ENSRNOG00000005772","ENSRNOG00000005772.7",1036,"362540","Hacd4","NM_001108669",1.01133776959216,3.14948047396964,1.37928489061242e-19,1.37868822807863e-18
"ENSRNOG00000058114","ENSRNOG00000058114.1",496,NA,NA,NA,1.93422026033349,1.01927112541426,1.84550544324804e-19,1.83150232392203e-18
"ENSRNOG00000019219","ENSRNOG00000019219.7",2633,"25624","Vamp1","NM_013090",1.32950591322912,1.55589775245713,1.99306429483128e-19,1.96808001307272e-18
"ENSRNOG00000011258","ENSRNOG00000011258.7",2470,"64459","Masp2","NM_001429904",1.48108955335743,1.80544093941218,4.14658141849854e-19,4.02015418084362e-18
"ENSRNOG00000033433","ENSRNOG00000033433.4",2970,"363165","Csrnp1","NM_001108786",1.06678003367561,2.33388182099329,4.85663649091314e-19,4.69542596304182e-18
"ENSRNOG00000055947","ENSRNOG00000055947.1",323,NA,NA,NA,2.21981089171837,2.3230078903579,4.91785997652916e-19,4.75130388255054e-18
"ENSRNOG00000060896","ENSRNOG00000060896.1",411,NA,NA,NA,1.36956449299872,3.95991594846545,5.98168248650101e-19,5.73910352891695e-18
"ENSRNOG00000037082","ENSRNOG00000037082.3",2279,"310782","Mybphl","NM_001014042",3.20395168477626,0.0101697416274019,7.97165345637807e-19,7.59580780200863e-18
"ENSRNOG00000005987","ENSRNOG00000005987.5",2192,"81805","Suox","NM_031127",1.4587952879963,1.84243386623873,1.04512395193546e-18,9.87702690499874e-18
"ENSRNOG00000035103","ENSRNOG00000035103.3",119,"120096019","LOC120096019","XR_005492108",3.81082747097452,1.45670154070343,1.33631525199747e-18,1.25180234146574e-17
"ENSRNOG00000014549","ENSRNOG00000014549.7",4502,"310460","Arhgef26","NM_001427682",1.40449106319934,2.09457380985966,2.12080143728217e-18,1.95627352804258e-17
"ENSRNOG00000002751","ENSRNOG00000002751.6",2883,"317235","Zdhhc15","NM_001039101",1.12996817104543,3.74951065820413,2.65199509050043e-18,2.43491787647007e-17
"ENSRNOG00000038328","ENSRNOG00000038328.3",2081,"497913","Gjc2","NM_001100784",2.71833935365631,-0.349336279264468,2.66458062592045e-18,2.44485412294911e-17
"ENSRNOG00000029171","ENSRNOG00000029171.3",68,NA,NA,NA,3.62932648143489,0.184935079780673,3.44113965078969e-18,3.14074786823886e-17
"ENSRNOG00000003189","ENSRNOG00000003189.7",1667,"64466","Cited1","NM_172055",2.50885586229575,0.0299228462617261,3.77594503903857e-18,3.43727524761857e-17
"ENSRNOG00000004882","ENSRNOG00000004882.3",3519,"83685","Capn6","NM_031808",1.33378923655087,2.64476697744548,4.61796577621362e-18,4.18727779734635e-17
"ENSRNOG00000062158","ENSRNOG00000062158.1",695,NA,NA,NA,1.05211736554718,4.35502811968081,4.75891313152782e-18,4.31225958532691e-17
"ENSRNOG00000029370","ENSRNOG00000029370.4",1912,"291793","Abhd3","NM_001106162",1.0749068609225,2.19793252732651,4.95512022247878e-18,4.47834333536152e-17
"ENSRNOG00000054080","ENSRNOG00000054080.1",6670,"315795","Cgnl1","NM_001108164",1.75095349508276,1.01860528006579,5.64760557654651e-18,5.07936228136372e-17
"ENSRNOG00000042634","ENSRNOG00000042634.2",1710,"191570","Serpina12","NM_138825",2.81776726206803,0.600974399937079,6.24023450604773e-18,5.60690934490251e-17
"ENSRNOG00000052253","ENSRNOG00000052253.1",279,NA,NA,NA,3.33806648396353,-0.780360013599735,1.25228701620067e-17,1.1115049419082e-16
"ENSRNOG00000001963","ENSRNOG00000001963.7",2928,"286918","Mx2","NM_134350",2.31867322024431,0.253202994158293,1.50604065853387e-17,1.32569826602626e-16
"ENSRNOG00000061829","ENSRNOG00000061829.1",316,NA,NA,NA,2.24181215809415,2.02680753489949,1.99040627631028e-17,1.73335380746016e-16
"ENSRNOG00000061125","ENSRNOG00000061125.1",280,NA,NA,NA,2.56480677836835,0.300918844931187,2.0703787192082e-17,1.7973531974391e-16
"ENSRNOG00000036918","ENSRNOG00000036918.2",1605,"316976","Etfbkmt","NM_198772",1.5631384422733,3.42745900027096,2.11412697071859e-17,1.83303666804519e-16
"ENSRNOG00000045583","ENSRNOG00000045583.2",3939,NA,NA,NA,1.05594365350317,2.63077793518199,2.92140899404428e-17,2.51567790642421e-16
"ENSRNOG00000050395","ENSRNOG00000050395.2",1395,"293749","Ms4a6bl1","NM_001006975",1.20575007159898,1.90198631259714,4.93644170581069e-17,4.18330243333493e-16
"ENSRNOG00000012442","ENSRNOG00000012442.6",6974,"308797","Cemip","NM_001427855",1.01822692029017,2.91691657645506,5.14004928376915e-17,4.35318529445177e-16
"ENSRNOG00000003134","ENSRNOG00000003134.4",4620,"84484","Slc4a4","NM_053424",1.72537224025208,1.27858178902235,5.18019469762599e-17,4.38450667203216e-16
"ENSRNOG00000017332","ENSRNOG00000017332.7",1884,"300799","Dapk2","NM_001013109",2.16448844151486,0.616200400805189,1.17421391977725e-16,9.76562794468612e-16
"ENSRNOG00000060332","ENSRNOG00000060332.1",295,NA,NA,NA,2.33769121481338,1.78213493418661,1.54654388162679e-16,1.27855005216898e-15
"ENSRNOG00000042860","ENSRNOG00000042860.4",9514,"680415","Pappa2","NM_001427778",1.64529999770319,1.22921260358641,2.53061591595975e-16,2.0650064190033e-15
"ENSRNOG00000011471","ENSRNOG00000011471.5",2000,"25444","Fgf9","NM_012952",2.16453330258313,1.20981792331975,3.01771198204987e-16,2.45094076854946e-15
"ENSRNOG00000018254","ENSRNOG00000018254.6",4189,"307309","Sncaip","NM_001107379",2.32542680137616,-0.316788930717455,4.93547559607692e-16,3.95522737942256e-15
"ENSRNOG00000019050","ENSRNOG00000019050.4",2068,NA,NA,NA,2.53206875344247,1.46392531550127,6.36673770311213e-16,5.06126442178593e-15
"ENSRNOG00000061508","ENSRNOG00000061508.1",1785,"363466","Reps2","NM_001427498",2.12089723546736,0.153176216045311,7.19837990720434e-16,5.70276223048463e-15
"ENSRNOG00000004517","ENSRNOG00000004517.8",1925,"24482","Igf1","NM_001082477",1.4485211329069,1.98046839459411,7.32156864476519e-16,5.79373445725026e-15
"ENSRNOG00000001858","ENSRNOG00000001858.7",369,NA,NA,NA,1.87026969926266,1.19633687571452,1.44803422668261e-15,1.12153891166077e-14
"ENSRNOG00000000466","ENSRNOG00000000466.4",1634,"361802","Hsd17b8","NM_212529",1.02703700606836,2.454067256782,2.31317044583448e-15,1.77083352076473e-14
"ENSRNOG00000010397","ENSRNOG00000010397.8",4710,"500076","Agbl3","XM_006236277",1.4229644282136,1.50013168439489,3.05603249927979e-15,2.32667954805135e-14
"ENSRNOG00000043201","ENSRNOG00000043201.2",2581,"360887","Coq8a","NM_001013185",1.14711796124904,1.93925947746538,5.49370375345253e-15,4.11701128853329e-14
"ENSRNOG00000060984","ENSRNOG00000060984.2",11139,"252893","Dnah7","NM_001419550",1.38279537173955,1.89915411968528,8.25892908244294e-15,6.10676228261274e-14
"ENSRNOG00000027992","ENSRNOG00000027992.6",5550,"171119","Dscam","NM_133587",1.67749044101183,0.420019138106867,8.54492828999813e-15,6.31150164158413e-14
"ENSRNOG00000012795","ENSRNOG00000012795.6",2600,"307585","Cables1","NM_001107404",1.06902836380697,2.294783274108,1.27163777601506e-14,9.28871766421114e-14
"ENSRNOG00000017209","ENSRNOG00000017209.6",1767,"246118","Tubb3","NM_139254",1.19580323496174,2.10754624257968,1.34499848938932e-14,9.78334682942994e-14
"ENSRNOG00000048993","ENSRNOG00000048993.2",301,NA,NA,NA,4.18307513194456,-0.692523942732859,1.64726287243844e-14,1.19008089960847e-13
"ENSRNOG00000049452","ENSRNOG00000049452.3",4622,"307189","Nebl","NM_001191694",1.50492036077527,0.598657919452096,3.93225942267692e-14,2.77863632191605e-13
"ENSRNOG00000002664","ENSRNOG00000002664.4",3129,"360468","Emp2","NM_001007721",2.13335822787066,-0.450828251775827,5.00337690721764e-14,3.51402317333664e-13
"ENSRNOG00000033567","ENSRNOG00000033567.5",2855,"81725","Musk","NM_031061",1.16965111683229,2.01968923439187,7.45016061638151e-14,5.17999131321531e-13
"ENSRNOG00000021729","ENSRNOG00000021729.6",3033,"296936","Iqub","NM_001034130",1.381007392425,1.08538381486454,8.72373623120105e-14,6.02620224760196e-13
"ENSRNOG00000007331","ENSRNOG00000007331.6",1443,"297960","Rragd","NM_001106641",2.00241152958018,0.433160896756988,9.03840265796553e-14,6.23424947512608e-13
"ENSRNOG00000010268","ENSRNOG00000010268.6",6950,NA,NA,NA,1.68028558964204,0.981791641529148,1.46695920240032e-13,9.95493019191286e-13
"ENSRNOG00000007126","ENSRNOG00000007126.5",1519,"312787","Gpr19","NM_080579",1.03430129264549,2.51783159738445,2.14359961671485e-13,1.44056544285675e-12
"ENSRNOG00000049334","ENSRNOG00000049334.2",3011,"171496","Atp2c2","NM_134462",1.85814092296,1.07062919998779,2.32527850068298e-13,1.55812765265678e-12
"ENSRNOG00000056620","ENSRNOG00000056620.1",348,NA,NA,NA,1.26853456535515,1.60908484438048,4.24164641656594e-13,2.7870230293493e-12
"ENSRNOG00000056835","ENSRNOG00000056835.1",119,NA,NA,NA,2.95013106456368,-0.392579872734002,7.09688987006666e-13,4.58700611462024e-12
"ENSRNOG00000058696","ENSRNOG00000058696.1",210,NA,NA,NA,1.71594135419156,1.05671567298856,8.36685645445725e-13,5.37775140865068e-12
"ENSRNOG00000003585","ENSRNOG00000003585.6",3075,"302538","Sytl5","NM_178333",1.77242111326108,0.715319822986222,9.20609082296012e-13,5.90348025760958e-12
"ENSRNOG00000047349","ENSRNOG00000047349.2",744,"293750","Ms4a6b","NM_001432158",1.15220053273916,1.36248199803386,1.7132694792639e-12,1.08065368792151e-11
"ENSRNOG00000055727","ENSRNOG00000055727.1",119,NA,NA,NA,3.70168535588106,-0.417035162948304,1.79189111429966e-12,1.12819157169167e-11
"ENSRNOG00000038319","ENSRNOG00000038319.1",1355,"307096","Akr1c19","NM_001100576",1.72176966685892,0.46363588551382,2.48315624665276e-12,1.542404937437e-11
"ENSRNOG00000016149","ENSRNOG00000016149.7",1802,"315338","Hoxc10","NM_001308636",1.05656699958149,1.83447871901213,2.5359983738477e-12,1.57381743308077e-11
"ENSRNOG00000002092","ENSRNOG00000002092.5",2145,"288275","Hunk","NM_001191662",1.60928070319751,0.390712597437862,4.63817042341781e-12,2.81293065399232e-11
"ENSRNOG00000059857","ENSRNOG00000059857.1",1609,"362993","Rnd1","NM_001013222",1.37950059523131,1.60811411852392,5.03729235063472e-12,3.04832043427323e-11
"ENSRNOG00000029264","ENSRNOG00000029264.4",2638,"54261","Kcnn1","NM_019313",1.00830192122094,2.25293081526323,5.7497117142877e-12,3.45980916696548e-11
"ENSRNOG00000023348","ENSRNOG00000023348.7",4307,"313234","Tbc1d2","NM_001107933",1.10760949757937,1.80733036186997,6.60456923130919e-12,3.9587439612136e-11
"ENSRNOG00000058031","ENSRNOG00000058031.1",324,NA,NA,NA,2.12030665310568,-0.000625887828411426,6.86815809900642e-12,4.1114051763655e-11
"ENSRNOG00000025710","ENSRNOG00000025710.5",1641,"307660","Ces5a","NM_001012056",1.59939996574186,0.61189113119991,7.37016759418861e-12,4.40431049680306e-11
"ENSRNOG00000025994","ENSRNOG00000025994.6",3063,"315318","Krt80","NM_001008815",1.87280467126176,0.207666378388156,9.14852650279076e-12,5.43424042136637e-11
"ENSRNOG00000005731","ENSRNOG00000005731.7",2263,"78971","Birc3","NM_023987",1.24100194586169,1.52757020578945,1.07845120703069e-11,6.35429134478262e-11
"ENSRNOG00000042070","ENSRNOG00000042070.1",3315,"364867","Ticam2","NM_001108890",1.21270194328462,1.16886400135806,1.69032374326758e-11,9.80939655783246e-11
"ENSRNOG00000009284","ENSRNOG00000009284.6",1611,"25098","Foxa1","NM_012742",2.92916943748059,-1.0201309746085,1.72498124863304e-11,9.99796824040489e-11
"ENSRNOG00000023698","ENSRNOG00000023698.6",4781,"287603","Tex14","NM_001419556",1.2267994700997,1.09028114313726,2.08868330122857e-11,1.20355383575365e-10
"ENSRNOG00000054485","ENSRNOG00000054485.1",3069,NA,NA,NA,1.44305117339483,0.51894472298051,2.12864933837716e-11,1.22556455262712e-10
"ENSRNOG00000001367","ENSRNOG00000001367.4",2611,"171517","Gpc2","NM_138511",1.36985805379586,1.26003985086813,2.19003568620787e-11,1.25933864593886e-10
"ENSRNOG00000030736","ENSRNOG00000030736.2",378,NA,NA,NA,1.08547821373255,2.41594846261447,2.37288775133097e-11,1.35884823562382e-10
"ENSRNOG00000022631","ENSRNOG00000022631.3",801,"60662","Fgf5","NM_001412336",3.2629628354006,-1.23171053855341,2.6500850456549e-11,1.51134426462195e-10
"ENSRNOG00000008168","ENSRNOG00000008168.5",2575,"282582","Wnt5b","NM_001100489",2.13733555990778,-0.402112930317535,4.96153229611693e-11,2.7725386438277e-10
"ENSRNOG00000040350","ENSRNOG00000040350.1",84,"100314133","Mir675","NR_032754",1.05669371608863,2.24614353546023,5.70260476575804e-11,3.16370197969066e-10
"ENSRNOG00000003066","ENSRNOG00000003066.7",609,"287357","Wnt9a","NM_001105783",1.55349214716343,0.629380143699092,1.10352773798605e-10,5.97065641376513e-10
"ENSRNOG00000002863","ENSRNOG00000002863.8",7593,"54234","Cacna1e","NM_019294",4.25683453767138,-0.0347796385162672,1.10477532961622e-10,5.97371496482029e-10
"ENSRNOG00000047158","ENSRNOG00000047158.2",1749,"103689947","Selenbp1","NM_001329893",2.20608094587091,-0.374982987540256,1.18378777640251e-10,6.37608148098075e-10
"ENSRNOG00000053812","ENSRNOG00000053812.1",2011,NA,NA,NA,2.19045527821279,-0.384268618183456,1.32023309520451e-10,7.06707012815266e-10
"ENSRNOG00000006631","ENSRNOG00000006631.6",5243,"296789","Sema3e","NM_001106579",1.34988784396567,1.51567283455469,1.40425754923001e-10,7.49081441420733e-10
"ENSRNOG00000008218","ENSRNOG00000008218.6",862,"436582","Atp6v0e2","NM_001002253",1.81459849125899,0.0969696950283941,1.84169890168966e-10,9.72327249543998e-10
"ENSRNOG00000051494","ENSRNOG00000051494.1",3049,NA,NA,NA,1.20992569976812,0.859974434045904,2.37963143318303e-10,1.24073750243135e-09
"ENSRNOG00000032609","ENSRNOG00000032609.3",72,NA,NA,NA,1.80489956725518,1.43147862576797,2.48683920711749e-10,1.29566098337005e-09
"ENSRNOG00000052831","ENSRNOG00000052831.1",265,NA,NA,NA,2.01925331064408,-0.237512765161735,3.28732410214723e-10,1.69804252429841e-09
"ENSRNOG00000042961","ENSRNOG00000042961.2",369,NA,NA,NA,1.17742242103862,1.12021383969648,4.23378077168841e-10,2.1619571498596e-09
"ENSRNOG00000031333","ENSRNOG00000031333.3",68,NA,NA,NA,2.3630837598233,-0.0194059034295826,5.08714007603945e-10,2.5825012821022e-09
"ENSRNOG00000048215","ENSRNOG00000048215.1",312,NA,NA,NA,2.79907315994453,-0.640470334385218,5.52273832122681e-10,2.79544520209889e-09
"ENSRNOG00000021090","ENSRNOG00000021090.5",2881,"24701","Pygm","NM_012638",1.86385669058667,-0.0433955398329761,5.88248550611799e-10,2.9699482540721e-09
"ENSRNOG00000057040","ENSRNOG00000057040.1",3869,"100270678","Spns2","NM_001144991",1.12866791965742,1.15566813386592,7.39262434841374e-10,3.70138475862796e-09
"ENSRNOG00000004249","ENSRNOG00000004249.6",4282,"317468","Tlr7","NM_001097582",2.95168717967369,-1.42778301569248,7.85434848359818e-10,3.92547539209103e-09
"ENSRNOG00000017645","ENSRNOG00000017645.6",731,"24584","Myl11","NM_012605",1.00671693371792,2.54563610175864,7.9343197740711e-10,3.96401475126925e-09
"ENSRNOG00000056062","ENSRNOG00000056062.1",2652,"100912787","Zfp790l2","XM_006228762",1.17748653474401,0.797460381773436,1.10054958106313e-09,5.45123951120372e-09
"ENSRNOG00000032487","ENSRNOG00000032487.4",2582,"24800","Sts","NM_012661",1.1843763009345,1.77227998735593,1.40591209604537e-09,6.88747890444276e-09
"ENSRNOG00000014851","ENSRNOG00000014851.8",10929,NA,NA,NA,1.74203648529412,-0.241570486139593,2.121680010385e-09,1.02491190466821e-08
"ENSRNOG00000027469","ENSRNOG00000027469.2",2540,NA,NA,NA,1.36822492514616,0.745560737496045,2.47269019836836e-09,1.189194006337e-08
"ENSRNOG00000029881","ENSRNOG00000029881.5",2923,"288378","Clec4m","NM_001170397",1.28470822963622,1.09117359084231,3.06101268180483e-09,1.4593493748467e-08
"ENSRNOG00000004147","ENSRNOG00000004147.7",5695,"303638","Abca8a","NM_001281824",2.41094429997552,-0.349931460714146,3.36109100456504e-09,1.59692137379334e-08
"ENSRNOG00000059245","ENSRNOG00000059245.1",762,"500679","Rad51b","NM_001399175",1.23490022670708,0.493663921727971,3.73918780813728e-09,1.76928668163875e-08
"ENSRNOG00000061630","ENSRNOG00000061630.1",336,NA,NA,NA,2.15148696047982,-0.454835581869271,3.96370150553199e-09,1.8697773961448e-08
"ENSRNOG00000025220","ENSRNOG00000025220.5",2166,"292902","Slc6a16","NM_001427612",1.44798860996594,0.718433772152912,4.14415213852825e-09,1.95091766548576e-08
"ENSRNOG00000056358","ENSRNOG00000056358.1",1959,"679584","Ccdc27","NM_001191063",1.14621946333102,0.808816712987834,4.18681337959491e-09,1.96832759222461e-08
"ENSRNOG00000020952","ENSRNOG00000020952.8",5092,"310655","Cgn","NM_001427774",1.98431367232994,-0.404574689203416,4.22618923806365e-09,1.98616568123778e-08
"ENSRNOG00000060557","ENSRNOG00000060557.1",1275,NA,NA,NA,1.32978535302832,0.67117191766988,4.59084497241009e-09,2.15025252356397e-08
"ENSRNOG00000058862","ENSRNOG00000058862.1",2788,NA,NA,NA,1.14820717164558,0.754762796175755,4.74632847157801e-09,2.2185805101132e-08
"ENSRNOG00000014973","ENSRNOG00000014973.7",1432,"85270","Tekt1","NM_053508",1.02291281017664,1.65578220276283,5.20497173896043e-09,2.42478925366087e-08
"ENSRNOG00000020505","ENSRNOG00000020505.6",2800,"292763","Map4k1","NM_001106243",1.37977319001923,1.26680958820372,5.48893547970596e-09,2.55193163952527e-08
"ENSRNOG00000057519","ENSRNOG00000057519.1",775,NA,NA,NA,2.68769348522243,-1.09470887953189,6.63436877094534e-09,3.05780879788518e-08
"ENSRNOG00000053008","ENSRNOG00000053008.1",301,NA,NA,NA,2.83560104387784,-0.897663673113443,6.89604658852188e-09,3.17314271169158e-08
"ENSRNOG00000015117","ENSRNOG00000015117.5",2875,"691307","Lrrc39","NM_001109637",2.00743709849096,-0.264754321970295,7.03381401211061e-09,3.22903302860601e-08
"ENSRNOG00000017854","ENSRNOG00000017854.5",1614,"54315","Ucp2","NM_019354",1.0323958302233,1.95974517266404,1.02912660231622e-08,4.62940013449451e-08
"ENSRNOG00000017108","ENSRNOG00000017108.7",1144,"29205","Syngr1","NM_019166",1.39079676375323,0.163244332876725,1.11640068875807e-08,5.00251426921201e-08
"ENSRNOG00000055299","ENSRNOG00000055299.1",1119,NA,NA,NA,1.27550950074534,0.80774778755234,1.15838334307391e-08,5.17724908716204e-08
"ENSRNOG00000003537","ENSRNOG00000003537.8",7952,"289257","Spta1","NM_001011908",2.38206897739891,-0.948941688863394,1.16596564438349e-08,5.20945784522484e-08
"ENSRNOG00000014008","ENSRNOG00000014008.7",2132,"298504","Mfsd2a","NM_001106683",1.13771128557051,0.765379804605278,1.25480015822336e-08,5.58297477330187e-08
"ENSRNOG00000014874","ENSRNOG00000014874.5",3980,"305454","Zfyve28","NM_001107227",1.69252287358207,-0.714357452024451,1.71980129660998e-08,7.52630213895228e-08
"ENSRNOG00000023528","ENSRNOG00000023528.4",1458,"293711","Plaat5","NM_001039007",2.0209373255781,-0.731244965638455,1.74146169426953e-08,7.6162854666728e-08
"ENSRNOG00000054056","ENSRNOG00000054056.1",3123,NA,NA,NA,2.68416087884519,-1.04417685213116,1.96114593620022e-08,8.53400102306334e-08
"ENSRNOG00000002343","ENSRNOG00000002343.7",1064,"29545","Uchl1","NM_017237",1.01453505311539,2.21048567381181,2.0142811281289e-08,8.74326661251691e-08
"ENSRNOG00000036877","ENSRNOG00000036877.2",2885,"499721","Clca4l","NM_001077356",1.13174436774421,0.82436096363488,2.15835117362871e-08,9.33646822813991e-08
"ENSRNOG00000047124","ENSRNOG00000047124.2",543,"116601","Atp2a1","NM_058213",1.27654854987618,1.56419055281685,2.56774695545541e-08,1.10385252063361e-07
"ENSRNOG00000054841","ENSRNOG00000054841.1",1726,NA,NA,NA,1.20090806402445,0.765659540088421,2.67417503476638e-08,1.14676036752246e-07
"ENSRNOG00000037137","ENSRNOG00000037137.4",1180,"499157","Svip","NM_001271084",1.3188778140462,0.440514522842804,2.81002252222046e-08,1.20278333584638e-07
"ENSRNOG00000027770","ENSRNOG00000027770.5",6560,"309407","Trpm3","NM_001191562",1.60499430057171,0.189415131255848,3.06856314780809e-08,1.30699107469159e-07
"ENSRNOG00000046280","ENSRNOG00000046280.1",603,"680282","Tceal5","NM_001329156",1.98468315904808,-0.421829254915066,4.02364383723126e-08,1.69349721188143e-07
"ENSRNOG00000037466","ENSRNOG00000037466.2",809,"100363238","Lrcol1","NM_001270418",2.37091166177606,-0.971599678676823,4.32295791197109e-08,1.80903979751184e-07
"ENSRNOG00000046546","ENSRNOG00000046546.1",1395,NA,NA,NA,1.00362784913187,0.870705857869794,4.36653206559644e-08,1.82507086395626e-07
"ENSRNOG00000047960","ENSRNOG00000047960.1",3846,"367915","Rab9b","NM_001109018",1.0772200574779,0.470627910744304,4.38123552942467e-08,1.83032973207867e-07
"ENSRNOG00000046746","ENSRNOG00000046746.1",249,NA,NA,NA,1.90009851064782,-0.568883867559035,4.51640182031789e-08,1.88543796557926e-07
"ENSRNOG00000046365","ENSRNOG00000046365.1",2286,"294559","Oit3","NM_001001507",2.06989450553539,-1.14270841497442,5.19302706411479e-08,2.15815729067408e-07
"ENSRNOG00000032427","ENSRNOG00000032427.1",477,NA,NA,NA,2.1807177121611,-0.956860018193461,5.66742711464135e-08,2.34476900976985e-07
"ENSRNOG00000020136","ENSRNOG00000020136.7",3377,"60335","Tgm1","NM_001431338",1.61754921725972,0.269067959937149,6.85067821812238e-08,2.80833243098902e-07
"ENSRNOG00000057700","ENSRNOG00000057700.1",599,NA,NA,NA,1.79921821459367,-0.787363894281596,6.89466111075409e-08,2.82552709546245e-07
"ENSRNOG00000029582","ENSRNOG00000029582.5",2319,"680591","Lrch2","NM_001427706",1.04058468574305,1.14629799780196,7.42098338135983e-08,3.02601510585802e-07
"ENSRNOG00000007922","ENSRNOG00000007922.7",1728,"298487","Cldn19","NM_001008514",2.94115151477848,-1.27327759024138,7.77164947545294e-08,3.16435090536504e-07
"ENSRNOG00000018631","ENSRNOG00000018631.6",1527,"291354","Enkur","NM_001106126",1.34192162558072,0.643611866606477,7.83439678947601e-08,3.18709146388778e-07
"ENSRNOG00000054329","ENSRNOG00000054329.1",99,NA,NA,NA,1.08877460246422,1.75788957236199,8.21283156441417e-08,3.33516979522666e-07
"ENSRNOG00000014143","ENSRNOG00000014143.6",4059,"499723","Col24a1","XM_039103871",1.52109714409223,0.378574039085574,8.35711606528268e-08,3.39144497747625e-07
"ENSRNOG00000014127","ENSRNOG00000014127.5",1170,"302977","Rnf151","NM_001106987",1.60347083308067,-0.296648218937429,9.32465062661075e-08,3.76461724773825e-07
"ENSRNOG00000004697","ENSRNOG00000004697.7",3011,"140720","Baalc","NM_144762",1.65354912330581,-0.148600043878915,1.05613084037652e-07,4.23920033902146e-07
"ENSRNOG00000059141","ENSRNOG00000059141.1",272,NA,NA,NA,2.27064914485377,0.101163525304722,1.08782555900031e-07,4.36389280960077e-07
"ENSRNOG00000013825","ENSRNOG00000013825.7",3331,"313644","Rap1gap","NM_001100713",1.18540207742757,0.995592843387001,1.17588145904837e-07,4.69404565166905e-07
"ENSRNOG00000038720","ENSRNOG00000038720.2",1801,"314198","Cdkl1","NM_001025121",1.71733574929173,-0.287831233588923,1.20565590721323e-07,4.81013338060554e-07
"ENSRNOG00000017648","ENSRNOG00000017648.7",2580,"681871","Vom2r7l1","XM_008759288",1.08932016232537,0.960821954297803,1.31537720055678e-07,5.22682416409262e-07
"ENSRNOG00000058132","ENSRNOG00000058132.1",64,"120100227","LOC120100227","XR_005500005",1.23622996573298,1.15349190270916,1.51596936236352e-07,5.9725488035828e-07
"ENSRNOG00000002419","ENSRNOG00000002419.6",3043,"24943","Plp1","NM_030990",1.15343029381609,1.15610285760458,1.6188690557122e-07,6.34549069505059e-07
